EMAIL,MEMBER_JOIN_DATE,GENDER,MEMBERSHIP_STATUS,AVG_SESSION_LENGTH_MIN,AVG_TIME_ON_APP_MIN,AVG_TIME_ON_WEBSITE_MIN,LIFE_TIME_VALUE
Y1q8Hfxr87@8X9DZ.com,2024-04-01,MALE,DIAMOND,7.6049,8.6049,10.6049,660.49
kmMX3GDmaB@1YvcE.com,2024-04-16,MALE,SILVER,4.696,,7.696,269.60
J7c55tcjnx@NrWoM.com,2024-04-07,FEMALE,DIAMOND,12.0597,9.0597,13.0597,705.97
WvzvvcbLGu@ixNyG.com,2024-04-11,MALE,BRONZE,1.7874,,6.7874,178.74
c0qMOcdMtB@iBwLM.com,2024-04-24,FEMALE,BASIC,1.1937,3.1937,7.1937,119.37
uniALBbj27@xsy8V.com,2024-04-11,FEMALE,GOLD,7.0751,6.0751,,507.51
7UQvfAzpwe@YPyu0.com,2024-04-13,MALE,GOLD,,9.8938,9.8938,389.38
ZS5UTqKQCa@5ZYUZ.com,2024-04-09,MALE,GOLD,4.9149,8.9149,8.9149,491.49
CW98HBt9DS@0cJiE.com,2024-04-02,MALE,GOLD,4.6093,8.6093,11.6093,460.93
NTfO40JkMP@ooRg0.com,2024-04-14,MALE,DIAMOND,7.6332,13.6332,,663.32
Y6WSWxDjtF@FukPI.com,2024-04-06,FEMALE,GOLD,8.3823,9.3823,,538.23
HyIpFepOXS@DlOJM.com,2024-04-11,MALE,GOLD,8.4215,,9.4215,442.15
bJnoz9emyt@v3yyn.com,2024-04-02,FEMALE,BRONZE,,6.4879,5.4879,248.79
gJFh5KYQIA@N885r.com,2024-04-16,MALE,DIAMOND,11.4018,,14.4018,740.18
dWFtKTImST@aNzLh.com,2024-04-08,MALE,GOLD,7.5122,11.5122,9.5122,451.22
sxxf072r4p@Zk003.com,2024-04-22,MALE,GOLD,5.5973,7.5973,,359.73
1UUJ4eyZ7K@hys25.com,2024-04-11,MALE,SILVER,,7.3683,6.3683,336.83
iEsO4VgcIs@tkooC.com,2024-04-02,MALE,GOLD,,12.1899,10.1899,518.99
3IPbXdPcF9@iKyk9.com,2024-04-07,FEMALE,BRONZE,4.7218,4.7218,7.7218,172.18
xp3J1mnewR@FcBpa.com,2024-04-22,MALE,GOLD,7.6861,4.6861,,368.61
kdbGMQmAtc@EuuCk.com,2024-04-24,FEMALE,SILVER,5.4171,5.4171,6.4171,341.71
vX1HYfJ5vp@Jv0dp.com,2024-04-20,MALE,BASIC,4.0219,5.0219,,2.19
tuXMhS69Qr@7AwBO.com,2024-04-07,FEMALE,BASIC,,3.9958,3.9958,99.58
TkjU3DuKZY@FB2ye.com,2024-04-07,MALE,GOLD,7.0059,7.0059,9.0059,400.59
CitTXIfCTn@k8ZnU.com,2024-04-09,MALE,SILVER,6.3857,5.3857,7.3857,338.57
Imav3PMnbY@6uda4.com,2024-04-17,MALE,SILVER,3.3304,7.3304,6.3304,333.04
oC2JPSGOMZ@GPMGr.com,2024-04-06,MALE,GOLD,7.0752,7.0752,7.0752,407.52
0thGGOe9in@E8bns.com,2024-04-04,MALE,PLATIN,6.2703,,13.2703,627.03
1XLAqanJHx@FJRiG.com,2024-04-14,MALE,DIAMOND,6.8777,,11.8777,687.77
5nTTLScnoB@TIf7y.com,2024-04-08,MALE,GOLD,,7.5544,7.5544,355.44
fvwqhJRpZC@Xmx1X.com,2024-04-21,MALE,GOLD,6.4274,,8.4274,542.74
IxoPpTdIBE@rz4Or.com,2024-04-18,MALE,PLATIN,9.0838,12.0838,12.0838,608.38
MRAKUMRV2z@b65Y1.com,2024-04-13,MALE,BASIC,1.2142,3.2142,7.2142,21.42
6fBKY528ut@rALCw.com,2024-04-05,MALE,BASIC,,6.3779,3.3779,37.79
QUD49NWXzA@FnUVj.com,2024-04-27,FEMALE,BRONZE,3.5715,8.5715,6.5715,157.15
ZK2EzDbcYs@bxSr1.com,2024-04-06,MALE,SILVER,5.5677,7.5677,8.5677,256.77
xzCspRUH1D@AvDmC.com,2024-04-24,MALE,SILVER,3.6483,,7.6483,264.83
QEVqeWdS7I@QVEPw.com,2024-04-03,MALE,DIAMOND,7.11,14.11,10.11,711.00
Mma9QBdXDr@8MfyD.com,2024-04-08,MALE,GOLD,,6.844,10.844,484.40
IughgTRoVQ@e1azp.com,2024-04-01,FEMALE,GOLD,8.1988,10.1988,11.1988,519.88
4Lvc7W6j8t@NU1fK.com,2024-04-01,MALE,BASIC,0.2913,6.2913,6.2913,29.13
W4zkIi4z8Z@M7o5h.com,2024-04-23,MALE,GOLD,10.4076,12.4076,9.4076,540.76
1appgVWVtR@GM6If.com,2024-04-01,FEMALE,GOLD,5.5186,9.5186,8.5186,451.86
db7CP9mSF8@VZP8C.com,2024-04-05,MALE,GOLD,7.6349,8.6349,,463.49
